생산일자,설비명,MES_NO,생산모델,두께_좌,두께_중,두께_우,무게,통기도,인장강도,생산시간_분,로스시간_분,판정
2026-05-14,C21,3444,P43 (B03LM1-580),17.2,17.5,17.1,14.2,917,121,14,5,OK
2026-05-14,C22,3445,P41 (A07KD1-620),17.8,18.0,17.9,14.4,715,114,13,0,OK
2026-05-14,C22,3446,P41 (A07KD1-620),18.0,17.6,17.7,13.7,857,112,14,0,OK
2026-05-14,C22,3447,P41 (A07KD1-620),18.2,18.4,18.0,15.6,560,110,9,0,OK
2026-05-14,C22,3448,P41 (A07KD1-620),17.9,18.4,18.2,14.8,707,75,13,0,OK
2026-05-14,C22,3449,P41 (A07KD1-620),18.1,18.3,17.9,15.1,813,77,13,0,OK
2026-05-15,C21,3450,P41 (A07KD1-620),17.6,18.0,17.9,14.2,604,83,10,8,OK
2026-05-15,C21,3451,P41 (A07KD1-620),18.3,18.3,18.1,13.8,884,81,14,0,OK
2026-05-15,C21,3452,P41 (A07KD1-620),18.5,18.0,18.2,14.4,709,98,14,5,OK
2026-05-15,C21,3453,P41 (A07KD1-620),18.4,18.2,18.1,15.5,820,82,10,0,OK
2026-05-15,C21,3454,P41 (A07KD1-620),18.2,17.8,18.3,14.4,709,81,13,3,OK
2026-05-15,C21,3455,P41 (A07KD1-620),18.1,18.5,18.2,14.9,779,112,14,8,OK
2026-05-15,C21,3456,P41 (A07KD1-620),17.8,18.0,17.7,15.1,644,85,11,0,OK
2026-05-15,C22,3457,P43 (B03LM1-580),17.6,17.3,17.4,14.4,676,83,13,0,OK
2026-05-15,C22,3458,P43 (B03LM1-580),17.1,17.4,17.0,15.7,716,83,13,0,OK
2026-05-15,C22,3459,P43 (B03LM1-580),17.3,17.3,17.4,15.6,601,94,9,0,OK
2026-05-15,C22,3460,P43 (B03LM1-580),17.5,17.6,17.8,15.8,637,119,11,0,OK
2026-05-15,C22,3461,P43 (B03LM1-580),17.7,17.9,17.9,15.5,625,96,10,5,OK
2026-05-15,C22,3462,P43 (B03LM1-580),18.2,18.2,17.9,14.3,678,111,12,0,OK
2026-05-15,C22,3463,P43 (B03LM1-580),17.3,17.3,17.5,14.3,818,85,12,0,OK
2026-05-18,C21,3464,P43 (B03LM1-580),17.5,17.4,17.5,14.1,701,78,9,0,OK
2026-05-18,C21,3465,P43 (B03LM1-580),17.3,17.2,16.9,14.9,709,101,13,0,NG
2026-05-18,C21,3466,P43 (B03LM1-580),17.4,17.7,17.3,14.1,609,99,12,0,OK
2026-05-18,C21,3467,P43 (B03LM1-580),17.9,17.4,17.7,15.3,690,97,9,5,OK
2026-05-18,C21,3468,P43 (B03LM1-580),17.8,17.5,17.8,13.9,854,111,9,3,OK
2026-05-18,C21,3469,P43 (B03LM1-580),17.2,16.3,17.4,13.9,894,91,14,12,NG
2026-05-18,C21,3470,P43 (B03LM1-580),17.7,17.7,18.0,14.8,627,88,10,0,OK
2026-05-18,C22,3471,P41 (A07KD1-620),18.0,18.3,18.0,14.6,795,84,14,3,OK
2026-05-18,C22,3472,P41 (A07KD1-620),17.8,17.9,17.8,13.6,650,107,13,8,OK
2026-05-18,C22,3473,P41 (A07KD1-620),18.4,18.0,18.3,15.4,635,103,10,0,OK
2026-05-18,C22,3474,P41 (A07KD1-620),18.4,21.0,18.5,15.2,635,92,10,0,NG
2026-05-18,C22,3475,P41 (A07KD1-620),17.8,18.1,18.1,13.5,842,113,9,0,OK
2026-05-19,C21,3476,P41 (A07KD1-620),18.0,17.9,18.3,15.2,664,96,9,0,OK
2026-05-19,C21,3477,P41 (A07KD1-620),17.8,18.0,17.6,15.3,618,101,11,0,OK
2026-05-19,C21,3478,P41 (A07KD1-620),18.1,18.5,18.6,14.0,863,80,9,0,OK
2026-05-19,C21,3479,P41 (A07KD1-620),17.4,17.7,17.8,14.2,670,107,10,0,OK
2026-05-19,C21,3480,P41 (A07KD1-620),17.6,17.7,17.6,15.7,770,74,13,0,OK
2026-05-19,C21,3481,P41 (A07KD1-620),18.2,18.5,18.2,14.9,870,101,14,0,OK
2026-05-19,C22,3482,P43 (B03LM1-580),17.4,17.6,17.7,15.7,634,120,13,0,OK
2026-05-19,C22,3483,P43 (B03LM1-580),17.4,17.3,17.4,15.8,811,87,9,0,OK
2026-05-19,C22,3484,P43 (B03LM1-580),17.2,17.6,17.3,15.3,720,117,12,0,OK
2026-05-19,C22,3485,P43 (B03LM1-580),17.8,17.7,17.8,14.2,827,114,12,3,OK
2026-05-19,C22,3486,P43 (B03LM1-580),17.5,18.0,17.8,14.0,846,110,12,0,OK
2026-05-19,C22,3487,P43 (B03LM1-580),17.6,17.6,17.6,15.8,880,94,9,0,OK
2026-05-20,C21,3488,P43 (B03LM1-580),17.9,17.9,15.9,14.8,884,103,12,15,NG
2026-05-20,C21,3489,P43 (B03LM1-580),17.4,17.5,17.4,12.0,869,103,13,12,NG
2026-05-20,C21,3490,P43 (B03LM1-580),17.5,17.5,17.5,14.7,832,76,11,0,OK
2026-05-20,C21,3491,P43 (B03LM1-580),17.3,16.9,17.2,15.7,657,110,10,8,NG
2026-05-20,C21,3492,P43 (B03LM1-580),17.4,17.7,17.6,15.4,792,99,9,12,OK
2026-05-20,C21,3493,P43 (B03LM1-580),17.0,17.0,17.2,15.0,823,99,9,0,OK
2026-05-20,C21,3494,P43 (B03LM1-580),17.5,17.4,17.5,14.4,709,76,10,0,OK
2026-05-20,C22,3495,P41 (A07KD1-620),18.2,18.0,18.2,13.6,562,82,11,0,OK
2026-05-20,C22,3496,P41 (A07KD1-620),18.3,18.2,18.3,14.6,619,79,10,12,OK
2026-05-20,C22,3497,P41 (A07KD1-620),17.5,17.9,17.8,15.1,678,94,12,8,OK
2026-05-20,C22,3498,P41 (A07KD1-620),18.3,17.9,17.7,13.9,690,118,10,0,OK
2026-05-20,C22,3499,P41 (A07KD1-620),18.3,18.4,17.8,13.7,820,102,9,0,OK
2026-05-20,C22,3500,P41 (A07KD1-620),17.8,18.1,17.9,14.2,844,86,13,0,OK
2026-05-20,C22,3501,P41 (A07KD1-620),18.6,18.2,18.6,14.5,767,97,13,12,OK
2026-05-20,C22,3502,P41 (A07KD1-620),18.5,18.5,18.3,14.8,614,81,13,0,OK
2026-05-21,C21,3503,P41 (A07KD1-620),18.0,17.7,17.7,13.7,765,78,12,0,OK
2026-05-21,C21,3504,P41 (A07KD1-620),18.1,18.1,18.0,14.5,619,60,12,12,NG
2026-05-21,C21,3505,P41 (A07KD1-620),18.2,18.5,18.6,15.3,644,109,11,12,OK
2026-05-21,C21,3506,P41 (A07KD1-620),18.2,18.1,18.2,14.3,588,117,11,3,OK
2026-05-21,C21,3507,P41 (A07KD1-620),17.4,17.3,17.5,15.2,725,106,12,5,OK
2026-05-21,C22,3508,P43 (B03LM1-580),17.5,17.4,17.1,14.7,741,116,9,12,OK
2026-05-21,C22,3509,P43 (B03LM1-580),17.2,17.1,17.3,14.5,814,113,12,0,OK
2026-05-21,C22,3510,P43 (B03LM1-580),17.1,17.4,17.2,14.0,853,103,13,3,OK
2026-05-21,C22,3511,P43 (B03LM1-580),17.5,17.6,17.2,15.2,909,92,12,0,OK
2026-05-21,C22,3512,P43 (B03LM1-580),17.5,17.4,17.6,14.2,665,92,14,0,OK
2026-05-22,C21,3513,P43 (B03LM1-580),17.7,17.8,17.6,14.1,833,88,10,0,OK
2026-05-22,C21,3514,P43 (B03LM1-580),17.7,17.7,17.3,14.7,888,119,14,12,OK
2026-05-22,C21,3515,P43 (B03LM1-580),17.9,18.0,17.8,14.2,733,89,13,0,OK
2026-05-22,C21,3516,P43 (B03LM1-580),17.9,18.1,18.1,13.9,918,84,14,0,OK
2026-05-22,C21,3517,P43 (B03LM1-580),17.6,17.6,17.8,15.6,640,92,11,5,OK
2026-05-22,C22,3518,P41 (A07KD1-620),18.1,17.8,18.0,14.0,815,85,13,0,OK
2026-05-22,C22,3519,P41 (A07KD1-620),17.6,18.0,17.7,15.1,587,85,12,0,OK
2026-05-22,C22,3520,P41 (A07KD1-620),18.6,18.6,18.5,15.2,577,96,11,0,OK
2026-05-22,C22,3521,P41 (A07KD1-620),17.5,17.5,17.5,13.7,726,82,13,0,OK
2026-05-22,C22,3522,P41 (A07KD1-620),17.9,18.0,18.1,14.6,860,116,10,12,OK
2026-05-22,C22,3523,P41 (A07KD1-620),18.2,18.6,18.4,13.5,681,80,11,0,OK
2026-05-22,C22,3524,P41 (A07KD1-620),18.3,18.5,18.4,15.7,598,92,10,3,OK
